Total                      153,475ms
Miscellaneous                    5ms
Parsing                          2ms
Parsing.Operators               15ms
Import                          16ms
Deserialization                536ms
Scoping                          3ms
Typing                       1,786ms
Typing.OccursCheck           5,419ms
Typing.CheckLHS                398ms
Termination                      0ms
Termination.RecCheck         2,619ms
Positivity                 110,603ms
Injectivity                      0ms
ProjectionLikeness               0ms
Coverage                         0ms
Highlighting                     3ms
Serialization               29,447ms
Serialization.Sort               3ms
Serialization.BinaryEncode      30ms
Serialization.Compress           4ms
DeadCode                     2,570ms
ModuleName                       8ms 
